id,sku,name,category,image,status
1,LAP-ASUS-L1,"Laptop ASUS Model-L1 Intel Core i5-13420H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
2,LAP-MSI-L2,"Laptop MSI Model-L2 Intel Core i7-14650HX 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
3,LAP-ACER-L3,"Laptop Acer Model-L3 AMD Ryzen 7 8845HS 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
4,LAP-LENOVO-L4,"Laptop Lenovo Model-L4 Apple M3 Pro 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
5,LAP-HP-L5,"Laptop HP Model-L5 Intel Core Ultra 7 155H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
6,LAP-DELL-L6,"Laptop Dell Model-L6 Intel Core i5-13420H 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
7,LAP-APPLE-L7,"Laptop Apple Model-L7 Intel Core i7-14650HX 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
8,LAP-LG-L8,"Laptop LG Model-L8 AMD Ryzen 7 8845HS 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
9,LAP-ASUS-L9,"Laptop ASUS Model-L9 Apple M3 Pro 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
10,LAP-MSI-L10,"Laptop MSI Model-L10 Intel Core Ultra 7 155H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
11,LAP-ACER-L11,"Laptop Acer Model-L11 Intel Core i5-13420H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
12,LAP-LENOVO-L12,"Laptop Lenovo Model-L12 Intel Core i7-14650HX 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
13,LAP-HP-L13,"Laptop HP Model-L13 AMD Ryzen 7 8845HS 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
14,LAP-DELL-L14,"Laptop Dell Model-L14 Apple M3 Pro 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
15,LAP-APPLE-L15,"Laptop Apple Model-L15 Intel Core Ultra 7 155H 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
16,LAP-LG-L16,"Laptop LG Model-L16 Intel Core i5-13420H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
17,LAP-ASUS-L17,"Laptop ASUS Model-L17 Intel Core i7-14650HX 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
18,LAP-MSI-L18,"Laptop MSI Model-L18 AMD Ryzen 7 8845HS 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
19,LAP-ACER-L19,"Laptop Acer Model-L19 Apple M3 Pro 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
20,LAP-LENOVO-L20,"Laptop Lenovo Model-L20 Intel Core Ultra 7 155H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
21,LAP-HP-L21,"Laptop HP Model-L21 Intel Core i5-13420H 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
22,LAP-DELL-L22,"Laptop Dell Model-L22 Intel Core i7-14650HX 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
23,LAP-APPLE-L23,"Laptop Apple Model-L23 AMD Ryzen 7 8845HS 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
24,LAP-LG-L24,"Laptop LG Model-L24 Apple M3 Pro 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
25,LAP-ASUS-L25,"Laptop ASUS Model-L25 Intel Core Ultra 7 155H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
26,LAP-MSI-L26,"Laptop MSI Model-L26 Intel Core i5-13420H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
27,LAP-ACER-L27,"Laptop Acer Model-L27 Intel Core i7-14650HX 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
28,LAP-LENOVO-L28,"Laptop Lenovo Model-L28 AMD Ryzen 7 8845HS 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
29,LAP-HP-L29,"Laptop HP Model-L29 Apple M3 Pro 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
30,LAP-DELL-L30,"Laptop Dell Model-L30 Intel Core Ultra 7 155H 32GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
31,LAP-APPLE-L31,"Laptop Apple Model-L31 Intel Core i5-13420H 16GB SSD 1TB",laptop,assets/images/products/placeholder-laptop.svg,placeholder_image
32,PC-TP-P1,"PC TechPilot Gaming P1 AMD Ryzen 5 7600X RTX 4070 Super 12GB 16GB",pc,assets/images/products/placeholder-pc.svg,placeholder_image
33,PC-TP-P2,"PC TechPilot Gaming P2 Intel Core i5-14400F RTX 4060 8GB 16GB",pc,assets/images/products/placeholder-pc.svg,placeholder_image
34,PC-TP-P3,"PC TechPilot Gaming P3 AMD Ryzen 5 7600X RTX 4070 Super 12GB 32GB",pc,assets/images/products/placeholder-pc.svg,placeholder_image
35,PC-TP-P4,"PC TechPilot Gaming P4 Intel Core i5-14400F RTX 4060 8GB 16GB",pc,assets/images/products/placeholder-pc.svg,placeholder_image
